mode,seed,variant,lead,driver
outer_race,20260906,vibration only,10.166666666666664,bpfo
outer_race,20260906,+ asymmetry,10.166666666666664,bpfo
outer_race,20261906,vibration only,12.0,bpfo
outer_race,20261906,+ asymmetry,12.0,bpfo
outer_race,20262906,vibration only,12.0,bpfo
outer_race,20262906,+ asymmetry,12.0,bpfo
outer_race,20263906,vibration only,11.666666666666668,bpfo
outer_race,20263906,+ asymmetry,11.666666666666668,bpfo
outer_race,20264906,vibration only,12.166666666666668,bpfo
outer_race,20264906,+ asymmetry,12.166666666666668,bpfo
outer_race,20265906,vibration only,12.166666666666668,bpfo
outer_race,20265906,+ asymmetry,12.166666666666668,bpfo
inner_race,20260906,vibration only,6.333333333333329,rms
inner_race,20260906,+ asymmetry,6.5,rms
inner_race,20261906,vibration only,12.0,bpfi
inner_race,20261906,+ asymmetry,12.0,bpfi
inner_race,20262906,vibration only,10.500000000000004,bpfi
inner_race,20262906,+ asymmetry,10.500000000000004,bpfi
inner_race,20263906,vibration only,7.666666666666671,rms
inner_race,20263906,+ asymmetry,7.666666666666671,rms
inner_race,20264906,vibration only,10.333333333333332,bpfi
inner_race,20264906,+ asymmetry,10.333333333333332,bpfi
inner_race,20265906,vibration only,10.166666666666668,bpfi
inner_race,20265906,+ asymmetry,10.166666666666668,bpfi
ball_spin,20260906,vibration only,6.0,rms
ball_spin,20260906,+ asymmetry,6.0,rms
ball_spin,20261906,vibration only,8.666666666666668,ftf
ball_spin,20261906,+ asymmetry,8.833333333333332,bsf
ball_spin,20262906,vibration only,10.666666666666668,rms
ball_spin,20262906,+ asymmetry,10.666666666666668,rms
ball_spin,20263906,vibration only,7.5,bsf
ball_spin,20263906,+ asymmetry,7.5,bsf
ball_spin,20264906,vibration only,10.0,rms
ball_spin,20264906,+ asymmetry,10.0,rms
ball_spin,20265906,vibration only,9.500000000000004,bsf
ball_spin,20265906,+ asymmetry,9.666666666666668,ftf
cage,20260906,vibration only,12.666666666666664,ftf
cage,20260906,+ asymmetry,12.666666666666664,ftf
cage,20261906,vibration only,13.666666666666668,ftf
cage,20261906,+ asymmetry,13.666666666666668,ftf
cage,20262906,vibration only,12.833333333333336,ftf
cage,20262906,+ asymmetry,12.833333333333336,ftf
cage,20263906,vibration only,13.333333333333336,ftf
cage,20263906,+ asymmetry,13.333333333333336,ftf
cage,20264906,vibration only,13.0,ftf
cage,20264906,+ asymmetry,13.0,ftf
cage,20265906,vibration only,12.833333333333336,ftf
cage,20265906,+ asymmetry,13.000000000000004,ftf
thermal,20260906,vibration only,7.166666666666668,rms
thermal,20260906,+ asymmetry,9.500000000000004,temp_asymmetry
thermal,20261906,vibration only,10.666666666666664,rms
thermal,20261906,+ asymmetry,10.833333333333332,temp_asymmetry
thermal,20262906,vibration only,12.999999999999996,rms
thermal,20262906,+ asymmetry,12.999999999999996,rms
thermal,20263906,vibration only,12.666666666666668,rms
thermal,20263906,+ asymmetry,12.666666666666668,rms
thermal,20264906,vibration only,15.666666666666668,bsf
thermal,20264906,+ asymmetry,16.0,rms
thermal,20265906,vibration only,10.833333333333332,rms
thermal,20265906,+ asymmetry,11.0,rms
