healthy_ratio,ema_tau_h,persistence,mad_floor,limit_scale,watch_lead_h,alert_lead_h,critical_lead_h,alert_terminal_lead_h,alert_prior_episodes,alert_driver,alert_life_fraction,peak_score,alert_share
0.05,1.0,1,0.0,1.0,33.0,33.0,33.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999999978599,0.32916666666666666
0.05,1.0,3,0.0,1.0,33.0,33.0,29.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999999978599,0.32916666666666666
0.05,1.0,6,0.0,1.0,33.0,10.333333333333332,9.166666666666664,10.333333333333332,0,bpfo,0.26382978723404255,0.9999999999978599,0.32916666666666666
0.05,1.0,1,0.01,1.0,33.0,33.0,33.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999999978599,0.32916666666666666
0.05,1.0,3,0.01,1.0,33.0,33.0,29.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999999978599,0.32916666666666666
0.05,1.0,6,0.01,1.0,33.0,10.333333333333332,9.166666666666664,10.333333333333332,0,bpfo,0.26382978723404255,0.9999999999978599,0.32916666666666666
0.05,1.0,1,0.02,1.0,33.0,33.0,33.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999999978599,0.32916666666666666
0.05,1.0,3,0.02,1.0,33.0,33.0,29.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999999978599,0.32916666666666666
0.05,1.0,6,0.02,1.0,33.0,10.333333333333332,9.166666666666664,10.333333333333332,0,bpfo,0.26382978723404255,0.9999999999978599,0.32916666666666666
0.05,2.0,1,0.0,1.0,33.0,33.0,9.166666666666664,10.166666666666664,3,rms,0.8425531914893618,0.9999999999550546,0.3125
0.05,2.0,3,0.0,1.0,33.0,33.0,9.166666666666664,10.166666666666664,2,rms,0.8425531914893618,0.9999999999550546,0.3125
0.05,2.0,6,0.0,1.0,33.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999999550546,0.3125
0.05,2.0,1,0.01,1.0,33.0,33.0,9.166666666666664,10.166666666666664,3,rms,0.8425531914893618,0.9999999999550546,0.3125
0.05,2.0,3,0.01,1.0,33.0,33.0,9.166666666666664,10.166666666666664,2,rms,0.8425531914893618,0.9999999999550546,0.3125
0.05,2.0,6,0.01,1.0,33.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999999550546,0.3125
0.05,2.0,1,0.02,1.0,33.0,33.0,9.166666666666664,10.166666666666664,3,rms,0.8425531914893618,0.9999999999550546,0.3125
0.05,2.0,3,0.02,1.0,33.0,33.0,9.166666666666664,10.166666666666664,2,rms,0.8425531914893618,0.9999999999550546,0.3125
0.05,2.0,6,0.02,1.0,33.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999999550546,0.3125
0.05,4.0,1,0.0,1.0,33.0,9.499999999999996,8.999999999999996,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.05,4.0,3,0.0,1.0,33.0,9.499999999999996,8.999999999999996,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.05,4.0,6,0.0,1.0,29.0,9.499999999999996,6.5,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.05,4.0,1,0.01,1.0,33.0,9.499999999999996,8.999999999999996,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.05,4.0,3,0.01,1.0,33.0,9.499999999999996,8.999999999999996,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.05,4.0,6,0.01,1.0,29.0,9.499999999999996,6.5,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.05,4.0,1,0.02,1.0,33.0,9.499999999999996,8.999999999999996,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.05,4.0,3,0.02,1.0,33.0,9.499999999999996,8.999999999999996,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.05,4.0,6,0.02,1.0,29.0,9.499999999999996,6.5,9.499999999999996,0,bpfo,0.24255319148936164,0.9999999958779686,0.25833333333333336
0.1,1.0,1,0.0,1.0,33.0,33.0,33.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999999978599,0.32916666666666666
0.1,1.0,3,0.0,1.0,33.0,33.0,29.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999999978599,0.32916666666666666
0.1,1.0,6,0.0,1.0,33.0,10.333333333333332,9.166666666666664,10.333333333333332,0,bpfo,0.26382978723404255,0.9999999999978599,0.32916666666666666
0.1,1.0,1,0.01,1.0,33.0,33.0,33.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999999978599,0.32916666666666666
0.1,1.0,3,0.01,1.0,33.0,33.0,29.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999999978599,0.32916666666666666
0.1,1.0,6,0.01,1.0,33.0,10.333333333333332,9.166666666666664,10.333333333333332,0,bpfo,0.26382978723404255,0.9999999999978599,0.32916666666666666
0.1,1.0,1,0.02,1.0,33.0,33.0,33.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999999978599,0.32916666666666666
0.1,1.0,3,0.02,1.0,33.0,33.0,29.0,10.333333333333332,3,rms,0.8425531914893618,0.9999999999978599,0.32916666666666666
0.1,1.0,6,0.02,1.0,33.0,10.333333333333332,9.166666666666664,10.333333333333332,0,bpfo,0.26382978723404255,0.9999999999978599,0.32916666666666666
0.1,2.0,1,0.0,1.0,33.0,33.0,9.166666666666664,10.166666666666664,3,rms,0.8425531914893618,0.9999999999550546,0.3125
0.1,2.0,3,0.0,1.0,33.0,33.0,9.166666666666664,10.166666666666664,2,rms,0.8425531914893618,0.9999999999550546,0.3125
0.1,2.0,6,0.0,1.0,33.0,10.166666666666664,9.166666666666664,10.166666666666664,0,bpfo,0.2595744680851063,0.9999999999550546,0.3125
